"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HOUSECOST","RENT","IDX2015","Q","2000-Q1",79.9452559665429,
"GRC","HOUSECOST","RENT","IDX2015","Q","2000-Q2",80.7343104729061,
"GRC","HOUSECOST","RENT","IDX2015","Q","2000-Q3",81.6192049313622,
"GRC","HOUSECOST","RENT","IDX2015","Q","2000-Q4",82.4903642700034,
"GRC","HOUSECOST","RENT","IDX2015","Q","2001-Q1",83.1164159397975,
"GRC","HOUSECOST","RENT","IDX2015","Q","2001-Q2",83.8696535610489,
"GRC","HOUSECOST","RENT","IDX2015","Q","2001-Q3",84.8094790634787,
"GRC","HOUSECOST","RENT","IDX2015","Q","2001-Q4",85.8472261124665,
"GRC","HOUSECOST","RENT","IDX2015","Q","2002-Q1",87.0180064084857,
"GRC","HOUSECOST","RENT","IDX2015","Q","2002-Q2",88.0871928472919,
"GRC","HOUSECOST","RENT","IDX2015","Q","2002-Q3",88.9014066685191,
"GRC","HOUSECOST","RENT","IDX2015","Q","2002-Q4",90.3338875001662,
"GRC","HOUSECOST","RENT","IDX2015","Q","2003-Q1",91.5709674476228,
"GRC","HOUSECOST","RENT","IDX2015","Q","2003-Q2",92.6377031827953,
"GRC","HOUSECOST","RENT","IDX2015","Q","2003-Q3",93.7304123661481,
"GRC","HOUSECOST","RENT","IDX2015","Q","2003-Q4",94.8661190430434,
"GRC","HOUSECOST","RENT","IDX2015","Q","2004-Q1",96.1678594617853,
"GRC","HOUSECOST","RENT","IDX2015","Q","2004-Q2",97.650878037539,
"GRC","HOUSECOST","RENT","IDX2015","Q","2004-Q3",98.9035618988008,
"GRC","HOUSECOST","RENT","IDX2015","Q","2004-Q4",99.9592611507577,
"GRC","HOUSECOST","RENT","IDX2015","Q","2005-Q1",100.92007893626,
"GRC","HOUSECOST","RENT","IDX2015","Q","2005-Q2",101.904638925963,
"GRC","HOUSECOST","RENT","IDX2015","Q","2005-Q3",102.750657900295,
"GRC","HOUSECOST","RENT","IDX2015","Q","2005-Q4",103.752493537892,
"GRC","HOUSECOST","RENT","IDX2015","Q","2006-Q1",104.806787811698,
"GRC","HOUSECOST","RENT","IDX2015","Q","2006-Q2",106.049403254194,
"GRC","HOUSECOST","RENT","IDX2015","Q","2006-Q3",107.499750118239,
"GRC","HOUSECOST","RENT","IDX2015","Q","2006-Q4",108.839826776187,
"GRC","HOUSECOST","RENT","IDX2015","Q","2007-Q1",110.11521154842,
"GRC","HOUSECOST","RENT","IDX2015","Q","2007-Q2",111.146432324899,
"GRC","HOUSECOST","RENT","IDX2015","Q","2007-Q3",112.1391947478,
"GRC","HOUSECOST","RENT","IDX2015","Q","2007-Q4",113.229827881582,
"GRC","HOUSECOST","RENT","IDX2015","Q","2008-Q1",114.304185161275,
"GRC","HOUSECOST","RENT","IDX2015","Q","2008-Q2",115.398673039004,
"GRC","HOUSECOST","RENT","IDX2015","Q","2008-Q3",116.580118309984,
"GRC","HOUSECOST","RENT","IDX2015","Q","2008-Q4",117.708088690406,
"GRC","HOUSECOST","RENT","IDX2015","Q","2009-Q1",118.662989900071,
"GRC","HOUSECOST","RENT","IDX2015","Q","2009-Q2",119.816656620766,
"GRC","HOUSECOST","RENT","IDX2015","Q","2009-Q3",120.773633464726,
"GRC","HOUSECOST","RENT","IDX2015","Q","2009-Q4",121.532983955467,
"GRC","HOUSECOST","RENT","IDX2015","Q","2010-Q1",122.293285982969,
"GRC","HOUSECOST","RENT","IDX2015","Q","2010-Q2",123.001714200284,
"GRC","HOUSECOST","RENT","IDX2015","Q","2010-Q3",123.495501561604,
"GRC","HOUSECOST","RENT","IDX2015","Q","2010-Q4",123.749861314614,
"GRC","HOUSECOST","RENT","IDX2015","Q","2011-Q1",124.022513580029,
"GRC","HOUSECOST","RENT","IDX2015","Q","2011-Q2",124.282994083104,
"GRC","HOUSECOST","RENT","IDX2015","Q","2011-Q3",124.279762079719,
"GRC","HOUSECOST","RENT","IDX2015","Q","2011-Q4",124.069836800704,
"GRC","HOUSECOST","RENT","IDX2015","Q","2012-Q1",123.32262964353,
"GRC","HOUSECOST","RENT","IDX2015","Q","2012-Q2",122.22943231371,
"GRC","HOUSECOST","RENT","IDX2015","Q","2012-Q3",121.069536798962,
"GRC","HOUSECOST","RENT","IDX2015","Q","2012-Q4",119.702359867603,
"GRC","HOUSECOST","RENT","IDX2015","Q","2013-Q1",117.778413274228,
"GRC","HOUSECOST","RENT","IDX2015","Q","2013-Q2",114.761925749373,
"GRC","HOUSECOST","RENT","IDX2015","Q","2013-Q3",111.769267582937,
"GRC","HOUSECOST","RENT","IDX2015","Q","2013-Q4",109.00775939466,
"GRC","HOUSECOST","RENT","IDX2015","Q","2014-Q1",106.757924861346,
"GRC","HOUSECOST","RENT","IDX2015","Q","2014-Q2",105.202598135185,
"GRC","HOUSECOST","RENT","IDX2015","Q","2014-Q3",104.366027395561,
"GRC","HOUSECOST","RENT","IDX2015","Q","2014-Q4",102.222518216728,
"GRC","HOUSECOST","RENT","IDX2015","Q","2015-Q1",101.516240619562,
"GRC","HOUSECOST","RENT","IDX2015","Q","2015-Q2",100.722410245777,
"GRC","HOUSECOST","RENT","IDX2015","Q","2015-Q3",99.3716701797343,
"GRC","HOUSECOST","RENT","IDX2015","Q","2015-Q4",98.3896789549264,
"GRC","HOUSECOST","RENT","IDX2015","Q","2016-Q1",97.4977715629942,
"GRC","HOUSECOST","RENT","IDX2015","Q","2016-Q2",97.2625240653979,
"GRC","HOUSECOST","RENT","IDX2015","Q","2016-Q3",97.345335122865,
"GRC","HOUSECOST","RENT","IDX2015","Q","2016-Q4",97.4469400323002,
"GRC","HOUSECOST","RENT","IDX2015","Q","2017-Q1",97.1991466277713,
"GRC","HOUSECOST","RENT","IDX2015","Q","2017-Q2",96.012021365824,
"GRC","HOUSECOST","RENT","IDX2015","Q","2017-Q3",94.5609105759259,
"GRC","HOUSECOST","RENT","IDX2015","Q","2017-Q4",93.1239780292127,
"GRC","HOUSECOST","RENT","IDX2015","Q","2018-Q1",92.2394868782682,
"GRC","HOUSECOST","RENT","IDX2015","Q","2018-Q2",92.0663767929378,
"GRC","HOUSECOST","RENT","IDX2015","Q","2018-Q3",92.0954306404568,
"GRC","HOUSECOST","RENT","IDX2015","Q","2018-Q4",92.2556199371675,
"GRC","HOUSECOST","RENT","IDX2015","Q","2019-Q1",92.2314877407168,
"GRC","HOUSECOST","RENT","IDX2015","Q","2019-Q2",92.071970070928,
"GRC","HOUSECOST","RENT","IDX2015","Q","2019-Q3",92.0872006313446,
"ITA","HOUSECOST","RENT","IDX2015","Q","2000-Q1",73.8814755747102,
"ITA","HOUSECOST","RENT","IDX2015","Q","2000-Q2",74.2010970915647,
"ITA","HOUSECOST","RENT","IDX2015","Q","2000-Q3",74.7562646115062,
"ITA","HOUSECOST","RENT","IDX2015","Q","2000-Q4",75.1331011996021,
"ITA","HOUSECOST","RENT","IDX2015","Q","2001-Q1",75.5919076816729,
"ITA","HOUSECOST","RENT","IDX2015","Q","2001-Q2",75.8409483054776,
"ITA","HOUSECOST","RENT","IDX2015","Q","2001-Q3",76.4362466956056,
"ITA","HOUSECOST","RENT","IDX2015","Q","2001-Q4",76.8222824385497,
"ITA","HOUSECOST","RENT","IDX2015","Q","2002-Q1",77.2105843468282,
"ITA","HOUSECOST","RENT","IDX2015","Q","2002-Q2",77.6854070917432,
"ITA","HOUSECOST","RENT","IDX2015","Q","2002-Q3",78.0807653851501,
"ITA","HOUSECOST","RENT","IDX2015","Q","2002-Q4",78.7236819539503,
"ITA","HOUSECOST","RENT","IDX2015","Q","2003-Q1",79.3024001825264,
"ITA","HOUSECOST","RENT","IDX2015","Q","2003-Q2",79.8157277537248,
"ITA","HOUSECOST","RENT","IDX2015","Q","2003-Q3",80.3486608226583,
"ITA","HOUSECOST","RENT","IDX2015","Q","2003-Q4",80.864644933541,
"ITA","HOUSECOST","RENT","IDX2015","Q","2004-Q1",81.4422579890954,
"ITA","HOUSECOST","RENT","IDX2015","Q","2004-Q2",82.1904919444668,
"ITA","HOUSECOST","RENT","IDX2015","Q","2004-Q3",82.613198691606,
"ITA","HOUSECOST","RENT","IDX2015","Q","2004-Q4",83.0640223958817,
"ITA","HOUSECOST","RENT","IDX2015","Q","2005-Q1",83.451445531788,
"ITA","HOUSECOST","RENT","IDX2015","Q","2005-Q2",83.948933030119,
"ITA","HOUSECOST","RENT","IDX2015","Q","2005-Q3",84.463943773103,
"ITA","HOUSECOST","RENT","IDX2015","Q","2005-Q4",84.8022647546395,
"ITA","HOUSECOST","RENT","IDX2015","Q","2006-Q1",85.4742902092978,
"ITA","HOUSECOST","RENT","IDX2015","Q","2006-Q2",85.9375122936869,
"ITA","HOUSECOST","RENT","IDX2015","Q","2006-Q3",86.502964843167,
"ITA","HOUSECOST","RENT","IDX2015","Q","2006-Q4",87.1124861156045,
"ITA","HOUSECOST","RENT","IDX2015","Q","2007-Q1",87.5766126253911,
"ITA","HOUSECOST","RENT","IDX2015","Q","2007-Q2",87.975748472295,
"ITA","HOUSECOST","RENT","IDX2015","Q","2007-Q3",88.4203471694451,
"ITA","HOUSECOST","RENT","IDX2015","Q","2007-Q4",88.8552760116165,
"ITA","HOUSECOST","RENT","IDX2015","Q","2008-Q1",89.2951183840244,
"ITA","HOUSECOST","RENT","IDX2015","Q","2008-Q2",89.9438798021935,
"ITA","HOUSECOST","RENT","IDX2015","Q","2008-Q3",90.6847704069326,
"ITA","HOUSECOST","RENT","IDX2015","Q","2008-Q4",91.5738175359502,
"ITA","HOUSECOST","RENT","IDX2015","Q","2009-Q1",92.4639857401667,
"ITA","HOUSECOST","RENT","IDX2015","Q","2009-Q2",93.1815400549588,
"ITA","HOUSECOST","RENT","IDX2015","Q","2009-Q3",93.7558215036538,
"ITA","HOUSECOST","RENT","IDX2015","Q","2009-Q4",94.2221063395879,
"ITA","HOUSECOST","RENT","IDX2015","Q","2010-Q1",94.6800121710533,
"ITA","HOUSECOST","RENT","IDX2015","Q","2010-Q2",95.0303616891396,
"ITA","HOUSECOST","RENT","IDX2015","Q","2010-Q3",95.4347523797947,
"ITA","HOUSECOST","RENT","IDX2015","Q","2010-Q4",95.7577095974176,
"ITA","HOUSECOST","RENT","IDX2015","Q","2011-Q1",96.130600622035,
"ITA","HOUSECOST","RENT","IDX2015","Q","2011-Q2",96.6220618090443,
"ITA","HOUSECOST","RENT","IDX2015","Q","2011-Q3",96.8314395096712,
"ITA","HOUSECOST","RENT","IDX2015","Q","2011-Q4",97.4645260744005,
"ITA","HOUSECOST","RENT","IDX2015","Q","2012-Q1",98.1376980827974,
"ITA","HOUSECOST","RENT","IDX2015","Q","2012-Q2",98.6794708726498,
"ITA","HOUSECOST","RENT","IDX2015","Q","2012-Q3",99.1221004748284,
"ITA","HOUSECOST","RENT","IDX2015","Q","2012-Q4",99.5531583582684,
"ITA","HOUSECOST","RENT","IDX2015","Q","2013-Q1",99.8591683018581,
"ITA","HOUSECOST","RENT","IDX2015","Q","2013-Q2",100.230188180819,
"ITA","HOUSECOST","RENT","IDX2015","Q","2013-Q3",100.547962545436,
"ITA","HOUSECOST","RENT","IDX2015","Q","2013-Q4",100.060995543168,
"ITA","HOUSECOST","RENT","IDX2015","Q","2014-Q1",99.8717387046012,
"ITA","HOUSECOST","RENT","IDX2015","Q","2014-Q2",99.7945162733233,
"ITA","HOUSECOST","RENT","IDX2015","Q","2014-Q3",99.8605476855981,
"ITA","HOUSECOST","RENT","IDX2015","Q","2014-Q4",99.9335601701771,
"ITA","HOUSECOST","RENT","IDX2015","Q","2015-Q1",99.964630811144,
"ITA","HOUSECOST","RENT","IDX2015","Q","2015-Q2",99.9577988262569,
"ITA","HOUSECOST","RENT","IDX2015","Q","2015-Q3",99.9862655007186,
"ITA","HOUSECOST","RENT","IDX2015","Q","2015-Q4",100.091304861881,
"ITA","HOUSECOST","RENT","IDX2015","Q","2016-Q1",100.254622968991,
"ITA","HOUSECOST","RENT","IDX2015","Q","2016-Q2",100.299883474613,
"ITA","HOUSECOST","RENT","IDX2015","Q","2016-Q3",100.328642019781,
"ITA","HOUSECOST","RENT","IDX2015","Q","2016-Q4",100.318306171154,
"ITA","HOUSECOST","RENT","IDX2015","Q","2017-Q1",100.357121966138,
"ITA","HOUSECOST","RENT","IDX2015","Q","2017-Q2",100.468784803897,
"ITA","HOUSECOST","RENT","IDX2015","Q","2017-Q3",100.534304592408,
"ITA","HOUSECOST","RENT","IDX2015","Q","2017-Q4",100.641312440463,
"ITA","HOUSECOST","RENT","IDX2015","Q","2018-Q1",100.727237151548,
"ITA","HOUSECOST","RENT","IDX2015","Q","2018-Q2",100.807469149617,
"ITA","HOUSECOST","RENT","IDX2015","Q","2018-Q3",100.933646975081,
"ITA","HOUSECOST","RENT","IDX2015","Q","2018-Q4",101.066390428968,
"ITA","HOUSECOST","RENT","IDX2015","Q","2019-Q1",101.064539694364,
"ITA","HOUSECOST","RENT","IDX2015","Q","2019-Q2",101.010031277151,
"ITA","HOUSECOST","RENT","IDX2015","Q","2019-Q3",101.231341834269,
"PRT","HOUSECOST","RENT","IDX2015","Q","2000-Q1",69.3280222655727,
"PRT","HOUSECOST","RENT","IDX2015","Q","2000-Q2",69.7683590888362,
"PRT","HOUSECOST","RENT","IDX2015","Q","2000-Q3",70.1741036254976,
"PRT","HOUSECOST","RENT","IDX2015","Q","2000-Q4",70.5987850200932,
"PRT","HOUSECOST","RENT","IDX2015","Q","2001-Q1",71.1902965137602,
"PRT","HOUSECOST","RENT","IDX2015","Q","2001-Q2",71.6566951548037,
"PRT","HOUSECOST","RENT","IDX2015","Q","2001-Q3",72.0952846438733,
"PRT","HOUSECOST","RENT","IDX2015","Q","2001-Q4",72.5508136875623,
"PRT","HOUSECOST","RENT","IDX2015","Q","2002-Q1",73.4571997022088,
"PRT","HOUSECOST","RENT","IDX2015","Q","2002-Q2",74.0366031046627,
"PRT","HOUSECOST","RENT","IDX2015","Q","2002-Q3",74.5448859375858,
"PRT","HOUSECOST","RENT","IDX2015","Q","2002-Q4",74.9723512555423,
"PRT","HOUSECOST","RENT","IDX2015","Q","2003-Q1",75.3877272045587,
"PRT","HOUSECOST","RENT","IDX2015","Q","2003-Q2",75.7908229588562,
"PRT","HOUSECOST","RENT","IDX2015","Q","2003-Q3",76.2452427794024,
"PRT","HOUSECOST","RENT","IDX2015","Q","2003-Q4",76.6821870571822,
"PRT","HOUSECOST","RENT","IDX2015","Q","2004-Q1",77.3594118440269,
"PRT","HOUSECOST","RENT","IDX2015","Q","2004-Q2",77.7668083471839,
"PRT","HOUSECOST","RENT","IDX2015","Q","2004-Q3",78.1953252621239,
"PRT","HOUSECOST","RENT","IDX2015","Q","2004-Q4",78.765614546665,
"PRT","HOUSECOST","RENT","IDX2015","Q","2005-Q1",79.0961684333079,
"PRT","HOUSECOST","RENT","IDX2015","Q","2005-Q2",79.6243020964858,
"PRT","HOUSECOST","RENT","IDX2015","Q","2005-Q3",80.181555193266,
"PRT","HOUSECOST","RENT","IDX2015","Q","2005-Q4",80.6583342769398,
"PRT","HOUSECOST","RENT","IDX2015","Q","2006-Q1",81.2053478937354,
"PRT","HOUSECOST","RENT","IDX2015","Q","2006-Q2",81.7371660214625,
"PRT","HOUSECOST","RENT","IDX2015","Q","2006-Q3",82.1399024225518,
"PRT","HOUSECOST","RENT","IDX2015","Q","2006-Q4",82.5941736622499,
"PRT","HOUSECOST","RENT","IDX2015","Q","2007-Q1",83.109305179747,
"PRT","HOUSECOST","RENT","IDX2015","Q","2007-Q2",83.8028865133017,
"PRT","HOUSECOST","RENT","IDX2015","Q","2007-Q3",84.4700469742272,
"PRT","HOUSECOST","RENT","IDX2015","Q","2007-Q4",85.0937913327237,
"PRT","HOUSECOST","RENT","IDX2015","Q","2008-Q1",85.6135122112214,
"PRT","HOUSECOST","RENT","IDX2015","Q","2008-Q2",86.3581095265631,
"PRT","HOUSECOST","RENT","IDX2015","Q","2008-Q3",87.0861220254412,
"PRT","HOUSECOST","RENT","IDX2015","Q","2008-Q4",87.6126062367739,
"PRT","HOUSECOST","RENT","IDX2015","Q","2009-Q1",88.1129772470866,
"PRT","HOUSECOST","RENT","IDX2015","Q","2009-Q2",88.7022203462308,
